title,price,rating,reviews,availability
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,167 ratings",
Newest Sony Playstation 4 Slim 1TB SSD Console - Marvel's Spider-Man PS4 Bundle with DualShock-4 Wireless Controller,,4.6 out of 5 stars,239 ratings,Only 2 left in stock - order soon
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,853 ratings,
PlayStation 4 Slim 1TB Console - Black (Renewed),$479.00,4.6 out of 5 stars,"1,174 ratings",
PlayStation 4 Slim 1TB Console (Renewed),$423.49,4.3 out of 5 stars,926 ratings,Not Available
PlayStation 2 Slim Console PS2 (Renewed),$232.99,4.2 out of 5 stars,885 ratings,Not Available
PlayStation 2 Slim Silver (Renewed),$257.99,4.4 out of 5 stars,110 ratings,Not Available
PlayStation 4 Slim 1TB Console (Renewed),$423.49,4.3 out of 5 stars,926 ratings,Not Available
PlayStation 4 Slim 1TB Console - Only On PlayStation Bundle,,4.8 out of 5 stars,"8,858 ratings",
"Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)",$539.00,4.2 out of 5 stars,352 ratings,Only 1 left in stock - order soon.
PlayStation 4 Slim 1TB Limited Edition Console - Call of Duty WWII Bundle [Discontinued],,4.6 out of 5 stars,712 ratings,
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,570 ratings",Not Available
PlayStation 4 Console - 1TB Slim Edition (Renewed),$458.99,4.6 out of 5 stars,20 ratings,
SonyHoliday Bundle - Playstation 4 1TB Slim- Jet Black,$795.00,4.7 out of 5 stars,741 ratings,Not Available
PlayStation 4 500GB Console - Star Wars Battlefront Bundle[Discontinued],,4.7 out of 5 stars,"1,301 ratings",Only 10 left in stock - order soon
PlayStation 4 Slim 1TB Gold Console [Discontinued],,4.6 out of 5 stars,707 ratings,Only 1 left in stock - order soon
PlayStation 4 Pro 1TB Limited Edition Console - Destiny 2 Bundle [Discontinued],,4.6 out of 5 stars,496 ratings,Only 19 left in stock - order soon
Madden NFL 23 – PlayStation 4,$39.88,4.6 out of 5 stars,702 ratings,In Stock
Wo Long: Fallen Dynasty: Steelbook Launch Edition - PlayStation 4,$79.99,Previous page of related Sponsored Products,,"This item will be released on March 3, 2023."
"2 Pack Wireless Controller for Playstation 4, Qyszy88 Wireless Controller for Sony PS4/Pro/Slim/, with Double Shock/Stereo Headset Jack/Touch Pad/Six-axis Motion Control，Great Gamepad Gift (Blue+Purple)",,4.3 out of 5 stars,239 ratings,In Stock.
"PS4 Stand Cooling Fan Station for Playstation 4/PS4 Slim/PS4 Pro, PS4 Vertical Stand with Dual Controller Port Charger Dock Station, 12 Game Slots, USB Fast Charging Station with LED Indicator",$25.99,3.7 out of 5 stars,7 ratings,Only 13 left in stock - order soon
Turok (Limited Run #423) - PlayStation 4,,3.8 out of 5 stars,6 ratings,Only 13 left in stock - order soon
Vertical Stand for PS4 Built-in Cooling Vents and Non-Slip Feet Steady Base Mount for Sony Playstation 4 Game Console(Not for PS4 Pro/Slim),,4.2 out of 5 stars,576 ratings,In Stock
"AC Power Cord Cable Compatible for Sony PS4 PS3 Playstation 4 3 Slim, Xbox One S, Xbox One X Edition Game Console Sharp TV AC Wall Cable Supply",,4.7 out of 5 stars,75 ratings,In Stock
Snakebyte Trigger Treadz - Original 4-Pack for (PS4) - Anti Slip Trigger Rubbers - PlayStation 4,$4.99,4.2 out of 5 stars,"3,239 ratings",Only 8 left in stock - order soon
"FXH Wireless PS4 Controller for PS4/ Slim/Pro with Highly Sensitive Buttons /Dual Vibration/6-Axis Motion Sensor/Audio Jack PS4 Controller ,Compatible with Playstation-4-Black…",,4.9 out of 5 stars,"1,279 ratings",In Stock.
"Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)",$539.00,4.2 out of 5 stars,352 ratings,Only 1 left in stock - order soon.
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,167 ratings",
PlayStation 4 Slim 1TB Console - Only On PlayStation Bundle,,4.8 out of 5 stars,"8,858 ratings",
